project_id,year,project_type,implementing_agency,location,contractor,has_contractor,contractor_reliability,procurement_mode,funding_source,approved_budget,planned_duration_months,start_month,start_date,planned_end_date,agency_capacity,typhoon_exposure,cpi_at_start,cmrpi_at_start,cpi_change,cmrpi_change,is_delayed,delay_days,delay_probability,is_cost_overrun,cost_overrun_pct,overrun_probability,risk_category
PROJ-2022-0001,2022,Non-Infrastructure,IPG-HRMDO,Tigbauan,N/A,0,0.5,Alternative Mode (Shopping),GAD Fund,3880726.0,6,7,2022-07-10,2023-01-06,0.7,13.8,116.0,125.3,7.1,5.7,1,43,0.4798,1,0.332,0.7579,Medium
PROJ-2016-0002,2016,Non-Infrastructure,IPG-HRMDO,Dumangas,N/A,0,0.5,Alternative Mode (Negotiated),HFEP,456994.66,6,4,2016-04-02,2016-09-29,0.7,10.5,94.5,96.0,3.2,2.5,0,0,0.1282,0,0.0,0.212,Low
PROJ-2022-0003,2022,Non-Infrastructure,OLEDIPO,Lambunao,JV Pacific Builders,1,0.48,Alternative Mode (Shopping),General Fund,6107377.92,6,6,2022-06-11,2022-12-08,0.55,14.3,116.0,125.3,7.1,5.7,0,0,0.6193,0,0.0,0.2444,Medium
PROJ-2025-0004,2025,Non-Infrastructure,OLEDIPO,Pototan,N/A,0,0.5,Competitive Bidding,General Fund,350452.46,6,7,2025-07-14,2026-01-10,0.55,13.8,132.5,139.2,0.0,0.0,0,0,0.1,0,0.0,0.1911,Low
PROJ-2023-0005,2023,Infrastructure,HMO,Barotac Viejo,RS AGRO INDUSTRIAL Corporation,1,0.44,Competitive Bidding,General Fund,1195486.17,12,2,2023-02-06,2024-02-01,0.7,16.6,123.1,131.0,4.7,4.8,1,254,0.861,1,0.293,0.9196,High
PROJ-2021-0006,2021,Non-Infrastructure,PHO,Batad,N/A,0,0.5,Repeat Order,20% NTA,86699.89,6,6,2021-06-08,2021-12-05,0.72,14.3,109.8,114.0,6.2,11.3,0,0,0.0656,0,0.0,0.3054,Low
PROJ-2025-0007,2025,Non-Infrastructure,OLEDIPO,Pavia,N/A,0,0.5,Direct Contracting,SEF,3934112.98,6,12,2025-12-10,2026-06-08,0.55,2.3,132.5,139.2,0.0,0.0,0,0,0.115,0,0.0,0.2108,Low
PROJ-2019-0008,2019,Non-Infrastructure,Provincial Planning Office,Miagao,N/A,0,0.5,Direct Contracting,20% NTA,2032318.64,6,7,2019-07-08,2020-01-04,0.82,13.8,102.5,103.2,2.6,4.3,0,0,0.2537,0,0.0,0.2423,Low
PROJ-2019-0009,2019,Non-Infrastructure,PCDO,Pototan,N/A,0,0.5,Alternative Mode (Negotiated),Special Budget,1426645.99,6,7,2019-07-04,2019-12-31,0.6,13.8,102.5,103.2,2.6,4.3,0,0,0.2609,0,0.0,0.2479,Low
PROJ-2017-0010,2017,Non-Infrastructure,OPPESM,Barotac Nuevo,N/A,0,0.5,Direct Contracting,LDRRMF,731758.18,6,4,2017-04-10,2017-10-07,0.65,10.5,97.7,98.5,2.3,1.5,0,0,0.18,0,0.0,0.2221,Low
PROJ-2020-0011,2020,Non-Infrastructure,OPPESM,Miagao,N/A,0,0.5,Repeat Order,SEF,169231.16,6,5,2020-05-07,2020-11-03,0.65,12.8,105.1,107.5,4.7,6.5,0,0,0.106,0,0.0,0.2645,Low
PROJ-2017-0012,2017,Infrastructure,IPG/HMO,Leganes,Conquest Construction Supply,1,0.79,Competitive Bidding,SEF,5116275.44,12,4,2017-04-12,2018-04-07,0.67,16.6,97.7,98.5,2.3,1.5,1,120,0.8309,0,0.0,0.8686,High
PROJ-2024-0013,2024,Non-Infrastructure,Provincial Planning Office,Dueñas,N/A,0,0.5,Direct Contracting,20% NTA,397060.66,6,1,2024-01-01,2024-06-29,0.82,2.8,127.8,135.8,4.7,3.4,1,85,0.0408,1,0.295,0.8078,Medium
PROJ-2020-0014,2020,Non-Infrastructure,Provincial Accountant's Office,Barotac Nuevo,N/A,0,0.5,Competitive Bidding,MOOE,3869358.09,6,2,2020-02-13,2020-08-11,0.8,5.0,105.1,107.5,4.7,6.5,0,0,0.205,1,0.259,0.2841,Low
PROJ-2016-0015,2016,Non-Infrastructure,Provincial Agriculture Office,Barotac Viejo,N/A,0,0.5,Direct Contracting,Trust Fund,1928514.29,6,4,2016-04-08,2016-10-05,0.62,10.5,94.5,96.0,3.2,2.5,0,0,0.312,0,0.0,0.2399,Low
PROJ-2024-0016,2024,Non-Infrastructure,PCDO,Dumangas,RS AGRO INDUSTRIAL Corporation,1,0.44,Competitive Bidding,Special Budget,6728071.04,6,10,2024-10-02,2025-03-31,0.6,6.1,127.8,135.8,4.7,3.4,0,0,0.4314,1,0.292,0.2053,Medium
PROJ-2021-0017,2021,Non-Infrastructure,Provincial Accountant's Office,Dueñas,N/A,0,0.5,Direct Contracting,20% NTA,29370820.38,6,2,2021-02-13,2021-08-12,0.8,5.0,109.8,114.0,6.2,11.3,0,0,0.444,0,0.0,0.2679,Medium
PROJ-2022-0018,2022,Non-Infrastructure,PSWDO,Oton,N/A,0,0.5,Alternative Mode (Shopping),Special Budget,10340498.63,6,1,2022-01-07,2022-07-06,0.75,2.8,116.0,125.3,7.1,5.7,0,0,0.267,0,0.0,0.2471,Low
PROJ-2018-0019,2018,Non-Infrastructure,OPPESM,San Miguel,N/A,0,0.5,Alternative Mode (Negotiated),LDRRMF,4313015.3,6,4,2018-04-11,2018-10-08,0.65,10.5,100.0,100.0,2.5,3.2,1,95,0.4358,1,0.312,0.8298,Medium
PROJ-2017-0020,2017,Infrastructure,HMO,Concepcion,RS AGRO INDUSTRIAL Corporation,1,0.44,Direct Contracting,SEF,122726.67,12,11,2017-11-11,2018-11-06,0.7,16.6,97.7,98.5,2.3,1.5,1,103,0.481,1,0.343,0.8703,Medium
PROJ-2022-0021,2022,Infrastructure,Provincial Accountant's Office,Maasin,Orchard Valley Enterprises,1,0.77,Alternative Mode (Shopping),Supplemental Budget,120010.11,12,2,2022-02-01,2023-01-27,0.8,16.6,116.0,125.3,7.1,5.7,0,0,0.3724,0,0.0,0.4409,Medium
PROJ-2023-0022,2023,Infrastructure,HMO,San Enrique,3rd Dragon Builders Innovation,1,0.92,Alternative Mode (Shopping),LDRRMF,1051983.29,12,1,2023-01-11,2024-01-06,0.7,16.6,123.1,131.0,4.7,4.8,1,167,0.6302,1,0.212,0.9043,High
PROJ-2017-0023,2017,Non-Infrastructure,OPPESM,Igbaras,N/A,0,0.5,Competitive Bidding,LDRRMF,9661255.71,6,12,2017-12-07,2018-06-05,0.65,2.3,97.7,98.5,2.3,1.5,0,0,0.2175,0,0.0,0.2171,Low
PROJ-2016-0024,2016,Non-Infrastructure,ICTMO,Bingawan,N/A,0,0.5,Alternative Mode (Shopping),Special Budget,3816892.72,6,12,2016-12-11,2017-06-09,0.78,2.3,94.5,96.0,3.2,2.5,0,0,0.1375,0,0.0,0.2301,Low
