project_id,quarter,total_quarters,planned_progress_pct,actual_progress_pct,slippage_pct,planned_expenditure,actual_expenditure,expenditure_ratio,issues_count,rainfall_mm,typhoon_days,cpi_quarterly,cmrpi_quarterly
PROJ-2022-0001,1,2,50.0,49.47,0.53,107537.63,118590.45,0.5514,6,989.7,8.3,114.91,123.91
PROJ-2022-0001,2,2,100.0,97.57,2.43,215075.27,269278.21,1.252,5,573.6,5.5,115.83,125.85
PROJ-2016-0002,1,2,50.0,62.85,-12.85,12111.31,12361.05,0.5103,1,547.8,2.2,94.13,96.04
PROJ-2016-0002,2,2,100.0,100.0,0.0,24222.62,24716.87,1.0204,5,826.4,5.5,94.76,94.66
PROJ-2022-0003,1,2,50.0,70.97,-20.97,170847.29,158497.5,0.4639,4,1229.4,6.7,114.48,124.73
PROJ-2022-0003,2,2,100.0,70.97,29.03,341694.57,353175.52,1.0336,3,904.1,7.5,116.24,125.9
PROJ-2025-0004,1,2,50.0,43.83,6.17,9236.47,8620.02,0.4666,4,1035.1,7.2,131.99,136.7
PROJ-2025-0004,2,2,100.0,100.0,0.0,18472.93,17173.47,0.9297,4,594.2,6.0,132.19,138.66
PROJ-2023-0005,1,4,25.0,20.94,4.06,16162.23,18100.48,0.28,2,141.1,0.6,120.37,130.83
PROJ-2023-0005,2,4,50.0,37.09,12.91,32324.46,37630.39,0.5821,8,631.9,4.6,123.65,130.93
PROJ-2023-0005,3,4,75.0,39.44,35.56,48486.68,57012.19,0.8819,4,1124.3,4.5,124.28,130.07
PROJ-2023-0005,4,4,100.0,100.0,0.0,64648.91,82471.63,1.2757,2,284.2,3.3,124.92,130.87
PROJ-2021-0006,1,4,25.0,4.2,20.8,2165214.12,2107214.04,0.2433,6,1030.4,9.8,108.69,114.18
PROJ-2021-0006,2,4,50.0,21.36,28.64,4330428.25,4291398.09,0.4955,5,358.1,2.4,109.84,114.42
PROJ-2021-0006,3,4,75.0,60.24,14.76,6495642.37,6732310.04,0.7773,2,135.7,0.6,110.81,115.03
PROJ-2021-0006,4,4,100.0,76.66,23.34,8660856.49,9343150.21,1.0788,1,1145.1,2.4,111.1,112.81
PROJ-2016-0007,1,2,50.0,42.07,7.93,92536.62,89540.49,0.4838,3,538.5,1.8,93.66,95.86
PROJ-2016-0007,2,2,100.0,100.0,0.0,185073.25,181477.2,0.9806,3,1037.3,12.7,95.08,93.93
PROJ-2020-0008,1,2,50.0,45.59,4.41,130611.72,138879.61,0.5317,4,999.5,5.1,104.95,108.92
PROJ-2020-0008,2,2,100.0,100.0,0.0,261223.44,257352.52,0.9852,4,910.9,6.8,104.52,107.12
PROJ-2022-0009,1,2,50.0,42.17,7.83,89726.26,90708.83,0.5055,5,1146.1,6.9,116.18,126.41
PROJ-2022-0009,2,2,100.0,85.68,14.32,179452.51,180570.05,1.0062,3,404.6,3.1,115.26,127.34
PROJ-2025-0010,1,4,25.0,12.76,12.24,3191.51,3180.72,0.2492,5,679.8,5.2,131.79,137.04
PROJ-2025-0010,2,4,50.0,38.01,11.99,6383.02,6262.73,0.4906,5,152.7,0.5,131.62,137.54
PROJ-2025-0010,3,4,75.0,78.75,-3.75,9574.54,9691.37,0.7592,1,463.4,0.8,132.8,138.44
PROJ-2025-0010,4,4,100.0,99.46,0.54,12766.05,12539.54,0.9823,2,1295.5,6.1,132.69,138.79
PROJ-2020-0011,1,4,25.0,7.7,17.3,3131.19,3700.47,0.2955,4,243.5,1.0,105.82,108.17
PROJ-2020-0011,2,4,50.0,59.7,-9.7,6262.38,7104.53,0.5672,0,236.1,0.8,105.06,107.61
PROJ-2020-0011,3,4,75.0,59.7,15.3,9393.56,11784.89,0.9409,2,836.1,7.2,105.76,108.6
PROJ-2020-0011,4,4,100.0,100.0,0.0,12524.75,16464.18,1.3145,3,880.9,11.0,105.94,110.11
PROJ-2022-0012,1,2,50.0,63.97,-13.97,51438.14,59278.83,0.5762,0,120.1,0.6,116.77,124.82
PROJ-2022-0012,2,2,100.0,75.86,24.14,102876.28,132328.95,1.2863,5,924.7,4.6,115.36,123.67
PROJ-2023-0013,1,2,50.0,46.35,3.65,125270.74,148626.01,0.5932,1,193.1,0.6,121.42,130.2
PROJ-2023-0013,2,2,100.0,98.89,1.11,250541.47,305370.42,1.2188,3,1129.9,5.6,122.87,131.13
PROJ-2023-0014,1,2,50.0,66.44,-16.44,460202.72,456107.72,0.4956,2,1089.7,3.9,123.42,128.68
PROJ-2023-0014,2,2,100.0,91.65,8.35,920405.43,874513.59,0.9501,5,748.2,6.5,122.62,129.05
PROJ-2023-0015,1,2,50.0,70.91,-20.91,52062.43,53680.86,0.5155,3,399.3,2.5,122.86,130.51
PROJ-2023-0015,2,2,100.0,92.47,7.53,104124.86,105062.27,1.009,2,108.6,0.8,121.29,129.07
PROJ-2020-0016,1,2,50.0,56.58,-6.58,8317.07,8021.97,0.4823,3,134.7,0.6,103.89,105.93
PROJ-2020-0016,2,2,100.0,70.81,29.19,16634.14,15587.64,0.9371,4,553.4,6.2,103.36,108.45
PROJ-2016-0017,1,2,50.0,44.02,5.98,141766.55,171002.44,0.6031,2,327.8,2.9,94.05,96.16
PROJ-2016-0017,2,2,100.0,62.4,37.6,283533.11,370750.9,1.3076,1,105.2,0.4,94.39,96.75
PROJ-2019-0018,1,2,50.0,31.86,18.14,2284904.91,2150690.43,0.4706,4,1173.7,5.1,101.28,102.29
PROJ-2019-0018,2,2,100.0,80.02,19.98,4569809.82,4071877.11,0.891,5,997.1,11.8,102.04,101.15
PROJ-2017-0019,1,2,50.0,56.96,-6.96,37688.0,39842.59,0.5286,3,360.2,1.4,98.12,98.11
PROJ-2017-0019,2,2,100.0,94.43,5.57,75376.01,80087.36,1.0625,3,1486.3,7.1,97.27,97.26
PROJ-2023-0020,1,2,50.0,55.76,-5.76,5000.0,5465.12,0.5465,4,634.1,3.5,122.53,129.39
PROJ-2023-0020,2,2,100.0,98.83,1.17,10000.0,10121.5,1.0121,3,1236.7,6.9,123.61,130.32
PROJ-2017-0021,1,2,50.0,65.84,-15.84,151088.03,145530.11,0.4816,4,929.4,7.3,98.04,97.57
PROJ-2017-0021,2,2,100.0,99.42,0.58,302176.06,322007.57,1.0656,1,164.1,2.5,97.28,97.86
PROJ-2018-0022,1,4,25.0,18.39,6.61,16636.64,15678.67,0.2356,3,367.6,3.5,98.87,102.01
PROJ-2018-0022,2,4,50.0,55.15,-5.15,33273.28,38229.19,0.5745,7,143.5,0.4,99.92,102.09
PROJ-2018-0022,3,4,75.0,55.15,19.85,49909.91,58028.7,0.872,3,810.4,4.6,99.25,103.38
PROJ-2018-0022,4,4,100.0,79.86,20.14,66546.55,76845.4,1.1548,6,1263.7,7.6,101.84,97.5
PROJ-2022-0023,1,4,25.0,16.87,8.13,26089.27,24424.37,0.234,4,708.7,11.5,114.73,123.74
PROJ-2022-0023,2,4,50.0,41.45,8.55,52178.54,52995.78,0.5078,2,612.7,6.8,116.11,125.94
PROJ-2022-0023,3,4,75.0,56.02,18.98,78267.8,76424.45,0.7323,4,164.8,1.7,115.02,126.55
PROJ-2022-0023,4,4,100.0,100.0,0.0,104357.07,102771.33,0.9848,5,235.4,0.7,117.12,126.66
PROJ-2023-0024,1,4,25.0,0.0,25.0,26167.46,27613.2,0.2638,2,741.6,7.5,120.95,128.74
PROJ-2023-0024,2,4,50.0,31.36,18.64,52334.92,57628.28,0.5506,3,159.8,1.5,123.8,133.78
PROJ-2023-0024,3,4,75.0,49.29,25.71,78502.37,81488.77,0.7785,2,269.5,0.9,124.2,132.65
PROJ-2023-0024,4,4,100.0,84.4,15.6,104669.83,111900.89,1.0691,4,965.2,7.1,124.87,131.98
PROJ-2022-0025,1,2,50.0,30.92,19.08,23297.88,27671.96,0.5939,2,719.1,3.9,115.55,126.43
PROJ-2022-0025,2,2,100.0,100.0,0.0,46595.75,56872.52,1.2206,5,856.3,7.9,116.27,126.23
PROJ-2024-0026,1,2,50.0,64.15,-14.15,6887.78,7137.26,0.5181,2,131.4,0.7,127.51,135.59
PROJ-2024-0026,2,2,100.0,95.05,4.95,13775.56,13054.24,0.9476,2,533.4,1.8,126.46,135.17
PROJ-2023-0027,1,4,25.0,27.52,-2.52,9977.2,10252.34,0.2569,2,1239.6,4.4,122.28,131.67
PROJ-2023-0027,2,4,50.0,51.21,-1.21,19954.41,22120.82,0.5543,6,789.9,9.3,123.36,129.58
PROJ-2023-0027,3,4,75.0,88.34,-13.34,29931.61,32685.61,0.819,2,229.4,1.7,124.4,133.79
PROJ-2023-0027,4,4,100.0,100.0,0.0,39908.82,41898.21,1.0498,3,232.0,0.6,124.37,133.63
PROJ-2018-0028,1,4,25.0,44.63,-19.63,100225.59,110578.12,0.2758,1,132.2,0.6,99.95,100.17
PROJ-2018-0028,2,4,50.0,45.67,4.33,200451.18,219790.4,0.5482,2,1050.0,2.8,100.8,100.28
PROJ-2018-0028,3,4,75.0,45.67,29.33,300676.78,367641.2,0.917,3,975.0,11.2,101.58,101.78
PROJ-2018-0028,4,4,100.0,58.87,41.13,400902.37,508935.8,1.2695,1,440.7,1.9,102.2,101.81
PROJ-2016-0029,1,2,50.0,68.29,-18.29,5000.0,4942.01,0.4942,3,294.0,2.2,92.54,93.29
PROJ-2016-0029,2,2,100.0,87.3,12.7,10000.0,11040.72,1.1041,0,158.6,0.3,94.75,95.98
PROJ-2024-0030,1,2,50.0,47.23,2.77,28780.15,28709.56,0.4988,7,1132.3,8.2,127.58,134.43
PROJ-2024-0030,2,2,100.0,84.95,15.05,57560.3,57352.44,0.9964,4,630.8,4.0,128.19,135.07
PROJ-2016-0031,1,4,25.0,16.8,8.2,2560.48,2977.53,0.2907,6,143.9,0.5,93.73,93.86
PROJ-2016-0031,2,4,50.0,50.62,-0.62,5120.95,5450.44,0.5322,1,366.8,2.6,94.47,95.88
PROJ-2016-0031,3,4,75.0,88.56,-13.56,7681.43,8567.56,0.8365,4,1101.6,6.2,93.87,96.47
PROJ-2016-0031,4,4,100.0,88.56,11.44,10241.91,11851.33,1.1571,7,684.7,6.3,94.48,96.88
PROJ-2025-0032,1,4,25.0,14.36,10.64,39149.71,35983.6,0.2298,5,1276.5,5.4,132.1,139.52
PROJ-2025-0032,2,4,50.0,18.98,31.02,78299.43,75535.3,0.4823,4,775.3,5.4,131.66,139.62
PROJ-2025-0032,3,4,75.0,75.06,-0.06,117449.14,106185.09,0.6781,2,219.7,1.3,131.43,140.7
PROJ-2025-0032,4,4,100.0,96.81,3.19,156598.86,155677.95,0.9941,3,296.9,0.6,134.91,140.54
PROJ-2021-0033,1,4,25.0,35.12,-10.12,2500.0,2760.94,0.2761,2,265.0,0.8,109.36,112.15
PROJ-2021-0033,2,4,50.0,42.65,7.35,5000.0,5296.09,0.5296,3,1234.2,5.8,109.79,114.95
PROJ-2021-0033,3,4,75.0,83.81,-8.81,7500.0,8367.02,0.8367,4,700.3,7.4,108.76,113.59
PROJ-2021-0033,4,4,100.0,100.0,0.0,10000.0,11589.39,1.1589,2,118.3,1.5,112.3,115.57
PROJ-2018-0034,1,2,50.0,35.58,14.42,77523.09,79265.02,0.5112,1,216.6,0.9,97.23,99.33
PROJ-2018-0034,2,2,100.0,85.69,14.31,155046.18,150345.66,0.9697,2,623.4,7.5,99.98,98.8
PROJ-2018-0035,1,2,50.0,45.5,4.5,50084.13,49408.06,0.4933,3,871.7,4.5,99.98,99.85
PROJ-2018-0035,2,2,100.0,100.0,0.0,100168.26,98685.38,0.9852,2,218.2,2.0,99.5,100.8
