quarter,rainfall_mm,typhoon_days,cpi_quarterly,cmrpi_quarterly,context_id
1,989.7,8.3,114.91,123.91,CTX-0001
2,573.6,5.5,115.83,125.85,CTX-0002
1,547.8,2.2,94.13,96.04,CTX-0003
2,826.4,5.5,94.76,94.66,CTX-0004
1,1229.4,6.7,114.48,124.73,CTX-0005
2,904.1,7.5,116.24,125.9,CTX-0006
1,1035.1,7.2,131.99,136.7,CTX-0007
2,594.2,6.0,132.19,138.66,CTX-0008
1,141.1,0.6,120.37,130.83,CTX-0009
2,631.9,4.6,123.65,130.93,CTX-0010
3,1124.3,4.5,124.28,130.07,CTX-0011
4,284.2,3.3,124.92,130.87,CTX-0012
1,1030.4,9.8,108.69,114.18,CTX-0013
2,358.1,2.4,109.84,114.42,CTX-0014
3,135.7,0.6,110.81,115.03,CTX-0015
4,1145.1,2.4,111.1,112.81,CTX-0016
1,538.5,1.8,93.66,95.86,CTX-0017
2,1037.3,12.7,95.08,93.93,CTX-0018
1,999.5,5.1,104.95,108.92,CTX-0019
2,910.9,6.8,104.52,107.12,CTX-0020
1,1146.1,6.9,116.18,126.41,CTX-0021
2,404.6,3.1,115.26,127.34,CTX-0022
1,679.8,5.2,131.79,137.04,CTX-0023
2,152.7,0.5,131.62,137.54,CTX-0024
3,463.4,0.8,132.8,138.44,CTX-0025
4,1295.5,6.1,132.69,138.79,CTX-0026
1,243.5,1.0,105.82,108.17,CTX-0027
2,236.1,0.8,105.06,107.61,CTX-0028
3,836.1,7.2,105.76,108.6,CTX-0029
4,880.9,11.0,105.94,110.11,CTX-0030
1,120.1,0.6,116.77,124.82,CTX-0031
2,924.7,4.6,115.36,123.67,CTX-0032
1,193.1,0.6,121.42,130.2,CTX-0033
2,1129.9,5.6,122.87,131.13,CTX-0034
1,1089.7,3.9,123.42,128.68,CTX-0035
2,748.2,6.5,122.62,129.05,CTX-0036
1,399.3,2.5,122.86,130.51,CTX-0037
2,108.6,0.8,121.29,129.07,CTX-0038
1,134.7,0.6,103.89,105.93,CTX-0039
2,553.4,6.2,103.36,108.45,CTX-0040
1,327.8,2.9,94.05,96.16,CTX-0041
2,105.2,0.4,94.39,96.75,CTX-0042
1,1173.7,5.1,101.28,102.29,CTX-0043
2,997.1,11.8,102.04,101.15,CTX-0044
1,360.2,1.4,98.12,98.11,CTX-0045
2,1486.3,7.1,97.27,97.26,CTX-0046
1,634.1,3.5,122.53,129.39,CTX-0047
2,1236.7,6.9,123.61,130.32,CTX-0048
1,929.4,7.3,98.04,97.57,CTX-0049
2,164.1,2.5,97.28,97.86,CTX-0050
1,367.6,3.5,98.87,102.01,CTX-0051
2,143.5,0.4,99.92,102.09,CTX-0052
3,810.4,4.6,99.25,103.38,CTX-0053
4,1263.7,7.6,101.84,97.5,CTX-0054
1,708.7,11.5,114.73,123.74,CTX-0055
2,612.7,6.8,116.11,125.94,CTX-0056
3,164.8,1.7,115.02,126.55,CTX-0057
4,235.4,0.7,117.12,126.66,CTX-0058
1,741.6,7.5,120.95,128.74,CTX-0059
2,159.8,1.5,123.8,133.78,CTX-0060
3,269.5,0.9,124.2,132.65,CTX-0061
4,965.2,7.1,124.87,131.98,CTX-0062
1,719.1,3.9,115.55,126.43,CTX-0063
2,856.3,7.9,116.27,126.23,CTX-0064
1,131.4,0.7,127.51,135.59,CTX-0065
