Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Precision (macro),Recall (macro),F1-Score (macro),MAE
Random Forest,0.84,0.4767,0.6029,0.5325,0.843,,,,
XGBoost,0.8356,0.4694,0.6765,0.5542,0.8424,,,,
LSTM,0.8822,0.619,0.5735,0.5954,0.9044,,,,
Meta-Ensemble (baseline bases),0.8822,0.6087,0.6176,0.6131,0.918,,,,
Meta-Ensemble (tuned bases),0.8933,0.6667,0.5882,0.625,0.9007,,,,
RF Risk,0.9178,,,,,0.8512,0.9101,0.8744,
XGB Risk,0.9022,,,,,0.8092,0.78,0.7935,
Random Forest,,,,,,,,,63.8171
XGBoost,,,,,,,,,70.2993
LSTM,,,,,,,,,39.7261
Meta-Ensemble (baseline bases),,,,,,,,,38.1495
Meta-Ensemble (tuned bases),,,,,,,,,39.4526
