project_name,implementing_agency,brief_description,expected_output,location,contractor,procurement_mode,funding_source,approved_budget,start_date,end_date,physical_accomplishment,financial_accomplishment,remarks,status,project_type
ASSISTANCE TO DISADVANTAGED INDIVIDUALS AND FAMILIES,,,,,,,,53000000.0,,,,,,unknown,Non-Infrastructure
Assistance to Individuals in Crisis Situation (AICS),PSWDO,Provision of immediate assistance to male and female walk-in clients in the form of cash and guarantee letter (non-food assistance),"18,000 needy individuals provided with assistance","Iloilo City/
Province",,,PSWDO (MOOE),50000000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Assistance to Individuals in Crisis Situation (AICS) for totally bedridden person,PSWDO,"Support to qualified, and eligible totally bedridden persons provided with financial assistance",625 bedridden persons provided with assistance,"Iloilo City/
Province",,,PSWDO (MOOE),3000000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
PROGRAM FOR THE WELFARE OF CHILDREN,,,,,,,,1562000.0,,,,,,unknown,Non-Infrastructure
"Awareness Raising on Laws and Other Issuances on Children and Capacity Development for Male and Female Child Development Workers, Focal Persons, Parents, and Other Community Volunteers",PSWDO,"a venue to increase understanding of key national laws, policies, and guidelines that protect and promote children’s rights and welfare","200 Child Development Workers, Focal Persons, Parents, and Other Community Volunteers provided with technical assistance","Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),119000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
"Implementation of Provincial Ordinance No. 2023-302 
(An Ordinance Converting the IPDCWC to Iloilo Province Balay Pagbag-o for Male Children In-Conflict with the Law) including Repair and Maintenance",PSWDO,"a venue to strengthen rehabilitation, protection, and reintegration interventions for CICL through improved infrastructure and institutional support.","15 male CICL, vulnerable individuals provided with improved access to appropriate facilities and service","Iloilo City/
Province",,,PSWDO (MOOE),837000.0,Jan,Dec ,,,,unknown,Infrastructure
Provision of Counterpart for CICL Services in DSWD Regional Rehabilitation Center for the Youth (RRCY) in Guimaras,PSWDO,a subsidy grant for the CICL from province of Iloilo,100% of male CICL from Iloilo Province who are residents of DSWD RRCY,"Iloilo City/
Province",,,PSWDO (MOOE),250000.0,Jan,Dec ,,,,unknown,Infrastructure
"Implementation of Executive Order No. 361, series of 2022 for Reconstitution and Stregthening of PCPC",PSWDO,"a regular meeting of PCPC and PCAT-VAWC members for reporting, updating, and sharing of technical expertise on laws, programs, and services for women and children",30 PCPC and PCPC TWG ,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),64000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Learning Sessions and Capacity Development for LCPCs and Other Intermediaries for Children,PSWDO,a venue for PCPC and PCAT-VAWC capacitated with technical inputs,30 of PCPC Members,"Iloilo City/
Province",,"Alternative Mode
(Negotiated)",PSWDO (MOOE),120000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
Implementation of Provincial Ordinance No. 2018-178 (Provincial Search for the Most Child-Friendly Municipality/City),PSWDO,a recognition program that honors local government units with exemplary initiatives and systems that uphold children’s rights and well-being,3 Most Child-Friendly LGU recognized,"Iloilo City/
Province",,,PSWDO (MOOE),100000.0,Jan,Dec ,,,,unknown,Non-Infrastructure
