project_id,year,project_type,implementing_agency,location,contractor,has_contractor,contractor_reliability,procurement_mode,funding_source,approved_budget,planned_duration_months,start_month,start_date,planned_end_date,agency_capacity,typhoon_exposure,cpi_at_start,cmrpi_at_start,cpi_change,cmrpi_change,is_delayed,delay_days,delay_probability,is_cost_overrun,cost_overrun_pct,overrun_probability,risk_category
PROJ-2022-0001,2022,Non-Infrastructure,IPG-HRMDO,Tigbauan,N/A,0,0.5,Alternative Mode (Shopping),GAD Fund,2028442.62,6,7,2022-07-10,2023-01-06,0.7,13.8,116.0,125.3,7.1,5.7,1,43,0.435,0,0.0,0.6429,High
PROJ-2016-0002,2016,Non-Infrastructure,IPG-HRMDO,Dumangas,N/A,0,0.5,Alternative Mode (Negotiated),HFEP,71854.87,6,4,2016-04-02,2016-09-29,0.7,10.5,94.5,96.0,3.2,2.5,0,0,0.1588,0,0.0,0.2839,Low
PROJ-2022-0003,2022,Non-Infrastructure,OLEDIPO,Lambunao,JV Pacific Builders,1,0.48,Alternative Mode (Shopping),General Fund,3613681.1,6,6,2022-06-11,2022-12-08,0.55,14.3,116.0,125.3,7.1,5.7,0,0,0.5138,1,0.062,0.3075,Medium
PROJ-2019-0004,2019,Non-Infrastructure,Provincial Planning Office,Estancia,N/A,0,0.5,Competitive Bidding,SEF,1172942.03,6,10,2019-10-07,2020-04-04,0.82,6.1,102.5,103.2,2.6,4.3,1,89,0.2288,1,0.258,0.6566,Medium
PROJ-2023-0005,2023,Infrastructure,HMO,Barotac Viejo,RS AGRO INDUSTRIAL Corporation,1,0.44,Competitive Bidding,General Fund,452879.39,12,2,2023-02-06,2024-02-01,0.7,16.6,123.1,131.0,4.7,4.8,0,0,0.6288,1,0.263,0.4359,High
PROJ-2021-0006,2021,Non-Infrastructure,OLEDIPO,Leganes,N/A,0,0.5,Repeat Order,20% NTA,3672189.22,6,6,2021-06-06,2021-12-03,0.55,14.3,109.8,114.0,6.2,11.3,1,111,0.4697,1,0.057,0.7682,High
PROJ-2017-0007,2017,Non-Infrastructure,Provincial Agriculture Office,San Dionisio,N/A,0,0.5,Alternative Mode (Negotiated),MOOE,4659272.09,6,7,2017-07-13,2018-01-09,0.62,13.8,97.7,98.5,2.3,1.5,0,0,0.4612,0,0.0,0.3147,Medium
PROJ-2019-0008,2019,Infrastructure,PHO,Lambunao,Western Visayas Builders Inc.,1,0.46,Direct Contracting,GAD Fund,75132.64,12,4,2019-04-14,2020-04-08,0.72,16.6,102.5,103.2,2.6,4.3,1,240,0.4293,1,0.182,0.8061,High
PROJ-2016-0009,2016,Non-Infrastructure,PSWDO,Dueñas,PCC Construction Corp,1,0.85,Alternative Mode (Shopping),Trust Fund,1380676.49,6,1,2016-01-01,2016-06-29,0.75,2.8,94.5,96.0,3.2,2.5,0,0,0.1754,0,0.0,0.2994,Low
PROJ-2020-0010,2020,Infrastructure,IPG/HMO,Lambunao,Panay Construction Services,1,0.53,Competitive Bidding,SEF,1222992.71,12,7,2020-07-09,2021-07-04,0.67,16.6,105.1,107.5,4.7,6.5,1,263,0.6769,1,0.053,0.8087,High
PROJ-2018-0011,2018,Infrastructure,Provincial Engineering Office,San Enrique,PCC Construction Corp,1,0.85,Alternative Mode (Shopping),General Fund,159894.95,12,12,2018-12-08,2019-12-03,0.73,16.6,100.0,100.0,2.5,3.2,1,147,0.3763,1,0.181,0.7451,High
PROJ-2016-0012,2016,Infrastructure,Provincial Engineering Office,Iloilo City,Panay Construction Services,1,0.53,Direct Contracting,Special Budget,573380.44,12,9,2016-09-03,2017-08-29,0.73,16.6,94.5,96.0,3.2,2.5,0,0,0.6003,0,0.0,0.4322,High
PROJ-2018-0013,2018,Non-Infrastructure,ICTMO,Dueñas,N/A,0,0.5,Competitive Bidding,Supplemental Budget,20250.7,6,8,2018-08-04,2019-01-31,0.78,11.6,100.0,100.0,2.5,3.2,0,0,0.1576,1,0.062,0.2911,Low
PROJ-2021-0014,2021,Non-Infrastructure,Provincial Planning Office,Concepcion,Island Builders Corporation,1,0.61,Repeat Order,20% NTA,1780740.12,6,7,2021-07-14,2022-01-10,0.82,13.8,109.8,114.0,6.2,11.3,0,0,0.3587,0,0.0,0.3401,Medium
PROJ-2023-0015,2023,Non-Infrastructure,HMO,Dumangas,N/A,0,0.5,Direct Contracting,HFEP,40708.96,6,6,2023-06-05,2023-12-02,0.7,14.3,123.1,131.0,4.7,4.8,1,121,0.1782,0,0.0,0.7145,High
PROJ-2020-0016,2020,Non-Infrastructure,OLEDIPO,Dueñas,N/A,0,0.5,Direct Contracting,20% NTA,1463609.98,6,2,2020-02-13,2020-08-11,0.55,5.0,105.1,107.5,4.7,6.5,0,0,0.3251,0,0.0,0.3527,Medium
PROJ-2018-0017,2018,Infrastructure,Provincial Engineering Office,Pototan,JV Pacific Builders,1,0.48,Alternative Mode (Negotiated),GAD Fund,609749.36,12,9,2018-09-01,2019-08-27,0.73,16.6,100.0,100.0,2.5,3.2,1,107,0.6086,1,0.269,0.6969,High
PROJ-2019-0018,2019,Non-Infrastructure,PCDO,Estancia,N/A,0,0.5,Competitive Bidding,Trust Fund,254087.18,6,8,2019-08-10,2020-02-06,0.6,11.6,102.5,103.2,2.6,4.3,0,0,0.2562,0,0.0,0.3283,Medium
PROJ-2021-0019,2021,Infrastructure,Provincial Agriculture Office,Anilao,RMKP Construction,1,0.87,Direct Contracting,HFEP,84345.15,12,4,2021-04-09,2022-04-04,0.62,16.6,109.8,114.0,6.2,11.3,0,0,0.3901,0,0.0,0.4301,Medium
PROJ-2022-0020,2022,Infrastructure,Provincial Accountant's Office,Ajuy,Western Visayas Builders Inc.,1,0.46,Alternative Mode (Shopping),Special Budget,97667.86,12,7,2022-07-01,2023-06-26,0.8,16.6,116.0,125.3,7.1,5.7,1,262,0.4767,0,0.0,0.7838,High
PROJ-2019-0021,2019,Non-Infrastructure,OPPESM,San Enrique,N/A,0,0.5,Alternative Mode (Shopping),LDRRMF,32035.0,6,4,2019-04-01,2019-09-28,0.65,10.5,102.5,103.2,2.6,4.3,0,0,0.1464,0,0.0,0.2812,Low
PROJ-2025-0022,2025,Non-Infrastructure,Provincial Agriculture Office,San Dionisio,N/A,0,0.5,Alternative Mode (Negotiated),Special Budget,2195142.42,6,1,2025-01-07,2025-07-06,0.62,2.8,132.5,139.2,0.0,0.0,1,40,0.2338,1,0.289,0.5901,Medium
PROJ-2017-0023,2017,Infrastructure,OPPESM,San Miguel,Iloilo New Agri-Industrial Marketing,1,0.44,Direct Contracting,SEF,80000000.0,12,12,2017-12-09,2018-12-04,0.65,16.6,97.7,98.5,2.3,1.5,1,54,0.7853,0,0.0,0.6744,High
PROJ-2020-0024,2020,Non-Infrastructure,Provincial Agriculture Office,Leon,N/A,0,0.5,Repeat Order,Special Budget,3789308.07,6,5,2020-05-12,2020-11-08,0.62,12.8,105.1,107.5,4.7,6.5,0,0,0.3927,0,0.0,0.3091,Medium
PROJ-2016-0025,2016,Non-Infrastructure,ICTMO,Lambunao,N/A,0,0.5,Alternative Mode (Shopping),HFEP,2481854.45,6,8,2016-08-13,2017-02-09,0.78,11.6,94.5,96.0,3.2,2.5,0,0,0.3556,0,0.0,0.3076,Medium
PROJ-2019-0026,2019,Non-Infrastructure,Provincial Accountant's Office,Barotac Nuevo,N/A,0,0.5,Competitive Bidding,MOOE,10000.0,6,4,2019-04-06,2019-10-03,0.8,10.5,102.5,103.2,2.6,4.3,0,0,0.1244,0,0.0,0.3109,Low
PROJ-2021-0027,2021,Non-Infrastructure,PHO,Banate,N/A,0,0.5,Alternative Mode (Negotiated),20% NTA,36659.09,6,1,2021-01-08,2021-07-07,0.72,2.8,109.8,114.0,6.2,11.3,0,0,0.1135,0,0.0,0.3596,Medium
PROJ-2016-0028,2016,Non-Infrastructure,PGENRO,Dumangas,A. Maquiling Construction and Supply,1,0.71,Competitive Bidding,SEF,2002091.36,6,3,2016-03-11,2016-09-07,0.68,7.8,94.5,96.0,3.2,2.5,0,0,0.3009,0,0.0,0.3202,Medium
PROJ-2018-0029,2018,Infrastructure,Provincial Engineering Office,Concepcion,CEBU ERNBRI IMPORT INC.,1,0.71,Repeat Order,Supplemental Budget,4730970.2,12,10,2018-10-13,2019-10-08,0.73,16.6,100.0,100.0,2.5,3.2,0,0,0.6593,0,0.0,0.4333,High
PROJ-2025-0030,2025,Non-Infrastructure,OPPESM,San Miguel,N/A,0,0.5,Competitive Bidding,SEF,11281345.06,6,10,2025-10-13,2026-04-11,0.65,6.1,132.5,139.2,0.0,0.0,1,69,0.397,1,0.232,0.6327,High
PROJ-2024-0031,2024,Non-Infrastructure,Provincial Accountant's Office,Ajuy,PCC Construction Corp,1,0.85,Direct Contracting,HFEP,30807.83,6,11,2024-11-02,2025-05-01,0.8,3.8,127.8,135.8,4.7,3.4,0,0,0.0724,1,0.107,0.3194,Low
PROJ-2024-0032,2024,Non-Infrastructure,PSWDO,Leon,N/A,0,0.5,Alternative Mode (Shopping),SEF,3568808.76,6,9,2024-09-05,2025-03-04,0.75,8.8,127.8,135.8,4.7,3.4,0,0,0.3767,0,0.0,0.294,Medium
PROJ-2021-0033,2021,Infrastructure,IPG/HMO,Igbaras,Western Visayas Builders Inc.,1,0.46,Alternative Mode (Shopping),Supplemental Budget,64609.24,12,2,2021-02-05,2022-01-31,0.67,16.6,109.8,114.0,6.2,11.3,0,0,0.4317,0,0.0,0.4757,Medium
PROJ-2025-0034,2025,Non-Infrastructure,PGENRO,Batad,N/A,0,0.5,Direct Contracting,Special Budget,5404022.11,6,1,2025-01-10,2025-07-09,0.68,2.8,132.5,139.2,0.0,0.0,0,0,0.2668,1,0.237,0.3208,Medium
PROJ-2016-0035,2016,Non-Infrastructure,HMO,Calinog,N/A,0,0.5,Repeat Order,LDRRMF,1745309.99,6,7,2016-07-13,2017-01-09,0.7,13.8,94.5,96.0,3.2,2.5,1,64,0.3999,1,0.206,0.6314,High
PROJ-2024-0036,2024,Non-Infrastructure,OLEDIPO,Leganes,N/A,0,0.5,Alternative Mode (Shopping),Supplemental Budget,101420.83,6,1,2024-01-12,2024-07-10,0.55,2.8,127.8,135.8,4.7,3.4,0,0,0.1359,0,0.0,0.2823,Low
